abanicar	abanicamiento
arraigar	arraigamiento
arrasar	arrasamiento
arreglar	arreglamiento
arremeter	arremetimiento
arriar	arriamiento
arrobar	arrobamiento
arropar	arropamiento
arrugar	arrugamiento
asentar	asentamiento
asentir	asentimiento
asesorar	asesoramiento
asolar	asolamiento
atarantar	atarantamiento
atontar	atontamiento
atorar	atoramiento
atrever	atrevimiento
avivar	avivamiento
ayudar	ayudamiento
ayuntar	ayuntamiento
añadir	añadimiento
añejar	añejamiento
balizar	balizamiento
buscar	buscamiento
calcinar	calcinamiento
calentar	calentamiento
cambiar	cambiamiento
cansar	cansamiento
carcoma	carcomiento
coligarse	coligamiento
	compartimiento
complacer	complacimiento
comportar	comportamiento
concomer	concomimiento
condenar	condenamiento
condicionar	condicionamiento
confortar	confortamiento
confrontar	confrontamiento
congelar	congelamiento
congraciar	congraciamiento
conocer	conocimiento
contentar	contentamiento
contrapasar	contrapasamiento
coordinar	coordinamiento
cornisa	cornisamiento
correr	corrimiento
cuestionar	cuestionamiento
debilitar	debilitamiento
derretir	derretimiento
derrocar	derrocamiento
desagradecer	desagradecimiento
desalojar	desalojamiento
desaparecer	desaparecimiento
desbordar	desbordamiento
	descargamiento
descarriar	descarriamiento
descervigar	descervigamiento
descifrar	desciframiento
	desconocimiento
descreer	descreimiento
descubrir	descubrimiento
desdoblar	desdoblamiento
	desecamiento
	desencantamiento
desencoger	desencogimiento
desenhetrar	desenhetramiento
desentenderse	desentendimiento
desflaquecer	desflaquecimiento
	desharrapamiento
desleír	desleimiento
desmenuzar	desmenuzamiento
desmeollar	desmeollamiento
despear	despeamiento
despegar	despegamiento
desperdicio	desperdiciamiento
destajar	destajamiento
desvariar	desvariamiento
detener	detenimiento
discernir	discernimiento
disculpa	disculpamiento
disentir	disentimiento
distanciar	distanciamiento
embolsar	embolsamiento
embotellar	embotellamiento
empadronar	empadronamiento
empalar	empalamiento
empapar	empapamiento
empastelar	empastelamiento
empecer	empecimiento
empecinar	empecinamiento
empelotarse2 ("sentir	empelotadura
empelotar1 (y	empelotamiento
empelotar2 (y	empelotamiento
empoderar	empoderamiento
enajenar	enajenamiento
enamora	enamoramiento
encabezar	encabezamiento
encantar	encantamiento
encarcelar	encarcelamiento
encargar	encargamiento
encharcar	encharcamiento
encoger	encogimiento
encuadrar	encuadramiento
encubrir	encubrimiento
endeudar	endeudamiento
enflaquecer	enflaquecimiento
enfriar	enfriamiento
engendrar	engendramiento
engerir	engerimiento
engrudar	engrudamiento
enlentecer	enlentecimiento
enraizar	enraizamiento
ensalzar	ensalzamiento
enseñorearse	enseñoramiento
ensimismarse	ensimismamiento
ensorbecerse	ensoberbecimiento
ensordecer	ensordamiento
ensortijar	ensortijamiento
ensuciar	ensuciamiento
entablar	entablamiento
entallar	entallamiento
entarquinar	entarquinamiento
entender	entendimiento
enterar	enteramiento
enternecer	enternecimiento
enterrar	enterramiento
entomecer	entomecimiento
entrecruzar	entrecruzamiento
entrenar	entrenamiento
entretener	entretenimiento
entrometer	entrometimiento
envanecerse	envanecimiento
envarar	envaramiento
envejecer	envejecimiento
enviscar	enviscamiento
envolver	envolvimiento
enyugar	enyugamiento
escabullir	escabullimiento
escalonar	escalonamiento
escoger	escogimiento
escudriñar	escudriñamiento
espaciar	espaciamiento
estirar	estiramiento
excarcelar	excarcelamiento
faena	faenamiento
firmar	firmamiento
fornecer	fornecimiento
fortalecer	fortalecimiento
forzar	forzamiento
funcionar	funcionamiento
gobernar	gobernamiento
henchir	henchimiento
hinchar	hinchamiento
hinchir	hinchimiento
hostigar	hostigamiento
igualar	igualamiento
incitar	incitamiento
	incumplimiento
injuriar	injuriamiento
inquinar	inquinamiento
involucrar	involucramiento
juntar	juntamiento
lanzar	lanzamiento
levantar	levantamiento
limpiar	limpiamiento
lucir	lucimiento
magullar	magullamiento
mallugar	mallugamiento
maltratar	maltratamiento
mantener	mantenimiento
marginar	marginamiento
merecer	merecimiento
mezclar	mezclamiento
mirar	miramiento
morder	mordimiento
nacer	nacimiento
negar	negamiento
ofuscar	ofuscamiento
padecer	padecimiento
pardear	pardeamiento
perfeccionar	perfeccionamiento
placer	placemiento
placer	placimiento
proclamar	proclamamiento
prolongar	prolongamiento
racionar	racionamiento
rapar	rapamiento
rascar	rascamiento
raspar	raspamiento
reagrupar	reagrupamiento
rebosar	rebosamiento
rebuscar	rebuscamiento
rechazar	rechazamiento
reclutar	reclutamiento
reconocer	reconocimiento
	redescubrimiento
reenganchar	reenganchamiento
	reflotamiento
	refregamiento
refrenar	refrenamiento
regañar	regañamiento
rehenchir	rehenchimiento
rehinchir	rehinchimiento
relajar	relajamiento
remar	remamiento
	rematamiento
remoler	remolimiento
replantear	replanteamiento
reportar	reportamiento
retener	retenimiento
retesar	retesamiento
retirar	retiramiento
retorcer	retorcimiento
retornar	retornamiento
revelar	revelamiento
revenir	revenimiento
robustecer	robustecimiento
rociar	rociamiento
sacudir	sacudimiento
salvar	salvamiento
sanear	saneamiento
seguir	seguimiento
sentar	sentamiento
sobrevivir	sobrevivimiento
sostener	sostenimiento
soterrar	soterramiento
	subarrendamiento
temporalizar	temporalizamiento
tirar	tiramiento
tomar	tomamiento
topar	topamiento
torpedear	torpedeamiento
transformar	transformamiento
trasformar	trasformamiento
trastocar	trastocamiento
trastornar	trastornamiento
trastrocar	trastrocamiento
tratar	tratamiento
