inf	gerund	parti	presente__1_sing	presente__2_sing_tu	presente__2_sing_usted	presente__3_sing	presente__1_plur	presente__2_plur_vosotros	presente__2_plur_ustedes	presente__3_plur	preterito_imp__1_sing	preterito_imp__2_sing_tu	preterito_imp__2_sing_usted	preterito_imp__3_sing	preterito_imp__1_plur	preterito_imp__2_plur_vosotros	preterito_imp__2_plur_ustedes	preterito_imp__3_plur	presente_perf__1_sing	presente_perf__2_sing_tu	presente_perf__2_sing_usted	presente_perf__3_sing	presente_perf__1_plur	presente_perf__2_plur_vosotros	presente_perf__2_plur_ustedes	presente_perf__3_plur	futuro_imp__1_sing	futuro_imp__2_sing_tu	futuro_imp__2_sing_usted	futuro_imp__3_sing	futuro_imp__1_plur	futuro_imp__2_plur_vosotros	futuro_imp__2_plur_ustedes	futuro_imp__3_plur	cond_simp__1_sing	cond_simp__2_sing_tu	cond_simp__2_sing_usted	cond_simp__3_sing	cond_simp__1_plur	cond_simp__2_plur_vosotros	cond_simp__2_plur_ustedes	cond_simp__3_plur	
buscar	buscando	buscado	busco	buscas/buscás	busca	busca	buscamos	buscáis	buscan	buscan	buscaba	buscabas	buscaba	buscaba	buscábamos	buscabais	buscaban	buscaban	busqué	buscaste	buscó	buscó	buscamos	buscasteis	buscaron	buscaron	buscaré	buscarás	buscará	buscará	buscaremos	buscaréis	buscarán	buscarán	buscaría	buscarías	buscaría	buscaría	buscaríamos	buscaríais	buscarían	buscarían	
caer	cayendo	caído	caigo	caes/caés	cae	cae	caemos	caéis	caen	caen	caía	caías	caía	caía	caíamos	caíais	caían	caían	caí	caíste	cayó	cayó	caímos	caísteis	cayeron	cayeron	caeré	caerás	caerá	caerá	caeremos	caeréis	caerán	caerán	caería	caerías	caería	caería	caeríamos	caeríais	caerían	caerían	
cambiar	cambiando	cambiado	cambio	cambias/cambiás	cambia	cambia	cambiamos	cambiáis	cambian	cambian	cambiaba	cambiabas	cambiaba	cambiaba	cambiábamos	cambiabais	cambiaban	cambiaban	cambié	cambiaste	cambió	cambió	cambiamos	cambiasteis	cambiaron	cambiaron	cambiaré	cambiarás	cambiará	cambiará	cambiaremos	cambiaréis	cambiarán	cambiarán	cambiaría	cambiarías	cambiaría	cambiaría	cambiaríamos	cambiaríais	cambiarían	cambiarían	
caminar	caminando	caminado	camino	caminas/caminás	camina	camina	caminamos	camináis	caminan	caminan	caminaba	caminabas	caminaba	caminaba	caminábamos	caminabais	caminaban	caminaban	caminé	caminaste	caminó	caminó	caminamos	caminasteis	caminaron	caminaron	caminaré	caminarás	caminará	caminará	caminaremos	caminaréis	caminarán	caminarán	caminaría	caminarías	caminaría	caminaría	caminaríamos	caminaríais	caminarían	caminarían	
cantar	cantando	cantado	canto	cantas/cantás	canta	canta	cantamos	cantáis	cantan	cantan	cantaba	cantabas	cantaba	cantaba	cantábamos	cantabais	cantaban	cantaban	canté	cantaste	cantó	cantó	cantamos	cantasteis	cantaron	cantaron	cantaré	cantarás	cantará	cantará	cantaremos	cantaréis	cantarán	cantarán	cantaría	cantarías	cantaría	cantaría	cantaríamos	cantaríais	cantarían	cantarían	
casar	casando	casado	caso	casas/casás	casa	casa	casamos	casáis	casan	casan	casaba	casabas	casaba	casaba	casábamos	casabais	casaban	casaban	casé	casaste	casó	casó	casamos	casasteis	casaron	casaron	casaré	casarás	casará	casará	casaremos	casaréis	casarán	casarán	casaría	casarías	casaría	casaría	casaríamos	casaríais	casarían	casarían	
causar	causando	causado	causo	causas/causás	causa	causa	causamos	causáis	causan	causan	causaba	causabas	causaba	causaba	causábamos	causabais	causaban	causaban	causé	causaste	causó	causó	causamos	causasteis	causaron	causaron	causaré	causarás	causará	causará	causaremos	causaréis	causarán	causarán	causaría	causarías	causaría	causaría	causaríamos	causaríais	causarían	causarían	
celebrar	celebrando	celebrado	celebro	celebras/celebrás	celebra	celebra	celebramos	celebráis	celebran	celebran	celebraba	celebrabas	celebraba	celebraba	celebrábamos	celebrabais	celebraban	celebraban	celebré	celebraste	celebró	celebró	celebramos	celebrasteis	celebraron	celebraron	celebraré	celebrarás	celebrará	celebrará	celebraremos	celebraréis	celebrarán	celebrarán	celebraría	celebrarías	celebraría	celebraría	celebraríamos	celebraríais	celebrarían	celebrarían	
cerrar	cerrando	cerrado	cierro	cierras/cerrás	cierra	cierra	cerramos	cerráis	cierran	cierran	cerraba	cerrabas	cerraba	cerraba	cerrábamos	cerrabais	cerraban	cerraban	cerré	cerraste	cerró	cerró	cerramos	cerrasteis	cerraron	cerraron	cerraré	cerrarás	cerrará	cerrará	cerraremos	cerraréis	cerrarán	cerrarán	cerraría	cerrarías	cerraría	cerraría	cerraríamos	cerraríais	cerrarían	cerrarían	
combatir	combatiendo	combatido	combato	combates/combatís	combate	combate	combatimos	combatís	combaten	combaten	combatía	combatías	combatía	combatía	combatíamos	combatíais	combatían	combatían	combatí	combatiste	combatió	combatió	combatimos	combatisteis	combatieron	combatieron	combatiré	combatirás	combatirá	combatirá	combatiremos	combatiréis	combatirán	combatirán	combatiría	combatirías	combatiría	combatiría	combatiríamos	combatiríais	combatirían	combatirían	
comenzar	comenzando	comenzado	comienzo	comienzas/comenzás	comienza	comienza	comenzamos	comenzáis	comienzan	comienzan	comenzaba	comenzabas	comenzaba	comenzaba	comenzábamos	comenzabais	comenzaban	comenzaban	comencé	comenzaste	comenzó	comenzó	comenzamos	comenzasteis	comenzaron	comenzaron	comenzaré	comenzarás	comenzará	comenzará	comenzaremos	comenzaréis	comenzarán	comenzarán	comenzaría	comenzarías	comenzaría	comenzaría	comenzaríamos	comenzaríais	comenzarían	comenzarían	
comer	comiendo	comido	como	comes/comés	come	come	comemos	coméis	comen	comen	comía	comías	comía	comía	comíamos	comíais	comían	comían	comí	comiste	comió	comió	comimos	comisteis	comieron	comieron	comeré	comerás	comerá	comerá	comeremos	comeréis	comerán	comerán	comería	comerías	comería	comería	comeríamos	comeríais	comerían	comerían	
compartir	compartiendo	compartido	comparto	compartes/compartís	comparte	comparte	compartimos	compartís	comparten	comparten	compartía	compartías	compartía	compartía	compartíamos	compartíais	compartían	compartían	compartí	compartiste	compartió	compartió	compartimos	compartisteis	compartieron	compartieron	compartiré	compartirás	compartirá	compartirá	compartiremos	compartiréis	compartirán	compartirán	compartiría	compartirías	compartiría	compartiría	compartiríamos	compartiríais	compartirían	compartirían	
completar	completando	completado	completo	completas/completás	completa	completa	completamos	completáis	completan	completan	completaba	completabas	completaba	completaba	completábamos	completabais	completaban	completaban	completé	completaste	completó	completó	completamos	completasteis	completaron	completaron	completaré	completarás	completará	completará	completaremos	completaréis	completarán	completarán	completaría	completarías	completaría	completaría	completaríamos	completaríais	completarían	completarían	
comprar	comprando	comprado	compro	compras/comprás	compra	compra	compramos	compráis	compran	compran	compraba	comprabas	compraba	compraba	comprábamos	comprabais	compraban	compraban	compré	compraste	compró	compró	compramos	comprasteis	compraron	compraron	compraré	comprarás	comprará	comprará	compraremos	compraréis	comprarán	comprarán	compraría	comprarías	compraría	compraría	compraríamos	compraríais	comprarían	comprarían	
comprender	comprendiendo	comprendido	comprendo	comprendes/comprendés	comprende	comprende	comprendemos	comprendéis	comprenden	comprenden	comprendía	comprendías	comprendía	comprendía	comprendíamos	comprendíais	comprendían	comprendían	comprendí	comprendiste	comprendió	comprendió	comprendimos	comprendisteis	comprendieron	comprendieron	comprenderé	comprenderás	comprenderá	comprenderá	comprenderemos	comprenderéis	comprenderán	comprenderán	comprendería	comprenderías	comprendería	comprendería	comprenderíamos	comprenderíais	comprenderían	comprenderían	
comprobar	comprobando	comprobado	compruebo	compruebas/comprobás	comprueba	comprueba	comprobamos	comprobáis	comprueban	comprueban	comprobaba	comprobabas	comprobaba	comprobaba	comprobábamos	comprobabais	comprobaban	comprobaban	comprobé	comprobaste	comprobó	comprobó	comprobamos	comprobasteis	comprobaron	comprobaron	comprobaré	comprobarás	comprobará	comprobará	comprobaremos	comprobaréis	comprobarán	comprobarán	comprobaría	comprobarías	comprobaría	comprobaría	comprobaríamos	comprobaríais	comprobarían	comprobarían	
concluir	concluyendo	concluido	concluyo	concluyes/concluís	concluye	concluye	concluimos	concluís	concluyen	concluyen	concluía	concluías	concluía	concluía	concluíamos	concluíais	concluían	concluían	concluí	concluiste	concluyó	concluyó	concluimos	concluisteis	concluyeron	concluyeron	concluiré	concluirás	concluirá	concluirá	concluiremos	concluiréis	concluirán	concluirán	concluiría	concluirías	concluiría	concluiría	concluiríamos	concluiríais	concluirían	concluirían	
conducir	conduciendo	conducido	conduzco	conduces/conducís	conduce	conduce	conducimos	conducís	conducen	conducen	conducía	conducías	conducía	conducía	conducíamos	conducíais	conducían	conducían	conduje	condujiste	condujo	condujo	condujimos	condujisteis	condujeron	condujeron	conduciré	conducirás	conducirá	conducirá	conduciremos	conduciréis	conducirán	conducirán	conduciría	conducirías	conduciría	conduciría	conduciríamos	conduciríais	conducirían	conducirían	
confiar	confiando	confiado	confío	confías/confiás	confía	confía	confiamos	confiáis	confían	confían	confiaba	confiabas	confiaba	confiaba	confiábamos	confiabais	confiaban	confiaban	confié	confiaste	confió	confió	confiamos	confiasteis	confiaron	confiaron	confiaré	confiarás	confiará	confiará	confiaremos	confiaréis	confiarán	confiarán	confiaría	confiarías	confiaría	confiaría	confiaríamos	confiaríais	confiarían	confiarían	
confirmar	confirmando	confirmado	confirmo	confirmas/confirmás	confirma	confirma	confirmamos	confirmáis	confirman	confirman	confirmaba	confirmabas	confirmaba	confirmaba	confirmábamos	confirmabais	confirmaban	confirmaban	confirmé	confirmaste	confirmó	confirmó	confirmamos	confirmasteis	confirmaron	confirmaron	confirmaré	confirmarás	confirmará	confirmará	confirmaremos	confirmaréis	confirmarán	confirmarán	confirmaría	confirmarías	confirmaría	confirmaría	confirmaríamos	confirmaríais	confirmarían	confirmarían	
