abaldonado	abaldonadamente
arrasador	arrasadoramente
arrebatada	arrebatadamente
arreglado	arregladamente
arregladísimo	arregladísimamente
arriesgado	arriesgadamente
artero	arteramente
artesanal	artesanalmente
artístico	artísticamente
ascético	ascéticamente
asertivo	asertivamente
asexual	asexualmente
asiduo	asiduamente
asimétrico	asimétricamente
asmado	asmadamente
asolador	asoladoramente
asombroso	asombrosamente
aspérrimo	aspérrimamente
astroso	astrosamente
atolondrada	atolondradamente
atrasado	atrasadamente
atómico	atómicamente
auditivo	auditivamente
autobiográfico	autobiográficamente
autárquico	autárquicamente
avaricioso	avariciosamente
aventurado	aventuradamente
avispado	avispadamente
añal	añalmente
bajo	bajamente
banal	banalmente
barato	baratamente
bastante	bastantemente
bastantísimo	bastantísimamente
bello	bellamente
benigno	benignamente
bibliográfico	bibliográficamente
bibliotecológico	bibliotecológicamente
biográfico	biográficamente
blando	blandamente
bondadoso	bondadosamente
brillante	brillantemente
brioso	briosamente
bronco	broncamente
brumoso	brumosamente
brusco	bruscamente
brutal	brutalmente
bullicioso	bulliciosamente
básico	básicamente
caballeril	caballerilmente
calamitoso	calamitosamente
caligráfico	caligráficamente
camaleónico	camaleónicamente
caprichoso	caprichosamente
cariñoso	cariñosamente
carnal	carnalmente
carnaválico	carnaválicamente
cartográfico	cartográficamente
casto	castamente
castigado	castigadamente
catafórico	catafóricamente
catastrófico	catastróficamente
categórico	categóricamente
católico	católicamente
cauteloso	cautelosamente
caviloso	cavilosamente
celestial	celestialmente
cercano	cercanamente
ceremonioso	ceremoniosamente
certero	certeramente
chabacanado	chabacanadamente
chambón	chambonamente
chistoso	chistosamente
chusco	chuscamente
ciego	ciegamente
ciente	cientemente
científico	científicamente
cierto	ciertamente
cinematográfico	cinematográficamente
clamoroso	clamorosamente
clandestino	clandestinamente
claro	claramente
clerical	clericalmente
climático	climáticamente
clínico	clínicamente
cochino	cochinamente
cognitivo	cognitivamente
cohesivo	cohesivamente
colectivo	colectivamente
colorido	coloridamente
colérico	coléricamente
comedido	comedidamente
compaginado	compaginadamente
comparativo	comparativamente
complejo	complejamente
completo	completamente
compulsivo	compulsivamente
comunicativo	comunicativamente
comunísimo	comunísimamente
común	comúnmente
concertado	concertadamente
condescendiente	condescendientemente
confidencial	confidencialmente
conflictivo	conflictivamente
confusa	confusamente
congénito	congénitamente
conjunto	conjuntamente
conmovedor	conmovedoramente
connotativo	connotativamente
conocido	conocidamente
conquistador	conquistadoramente
considerable	considerablemente
constitucional	constitucionalmente
contagioso	contagiosamente
contento	contentamente
contiguo	contiguamente
contingente	contingentemente
continuo	continuamente
contumaz	contumazmente
convencional	convencionalmente
convincente	convincentemente
cooperativo	cooperativamente
coordinado	coordinadamente
copioso	copiosamente
cordial	cordialmente
corporal	corporalmente
correcto	correctamente
correlativo	correlativamente
corto	cortamente
cortés	cortésmente
cosmético	cosméticamente
costoso	costosamente
cotidiano	cotidianamente
creativo	creativamente
creíble	creíblemente
cristalino	cristalinamente
cromatográfico	cromatográficamente
cronográfico	cronográficamente
cronológico	cronológicamente
cruel	cruelmente
cruento	cruentamente
crédulo	crédulamente
críptico	crípticamente
crónico	crónicamente
culinario	culinariamente
culto	cultamente
cumplido	cumplidamente
curioso	curiosamente
cándido	cándidamente
cáustico	cáusticamente
cíclico	cíclicamente
cómico	cómicamente
cómodo	cómodamente
cósmico	cósmicamente
dadivoso	dadivosamente
debido	debidamente
decidido	decididamente
declarativo	declarativamente
decorativo	decorativamente
deductivo	deductivamente
definitivo	definitivamente
dejado	dejadamente
deliberado	deliberadamente
delicado	delicadamente
delicioso	deliciosamente
democrático	democráticamente
denotativo	denotativamente
dependiente	dependientemente
deportivo	deportivamente
depravado	depravadamente
depurable	depurablemente
depurado	depuradamente
derechurero	derechureramente
desafortunado	desafortunadamente
desafrancesado	desafrancesadamente
desagarrado	desagarradamente
desagradable	desagradablemente
desalentado	desalentadamente
desanimado	desanimadamente
desapasionado	desapasionadamente
desapercibido	desapercibidamente
descomedido	descomedidamente
descoordinado	descoordinadamente
descubierto	descubiertamente
descuidado	descuidadamente
desencantado	desencantadamente
deseoso	deseosamente
desfavorable	desfavorablemente
desgraciado	desgraciadamente
desmesurado	desmesuradamente
desordenado	desordenadamente
despegado	despegadamente
despiadado	despiadadamente
despierto	despiertamente
desproporcionado	desproporcionadamente
destructivo	destructivamente
desvariado	desvariadamente
desventurado	desventuradamente
devastador	devastadoramente
deíctico	deícticamente
dialógico	dialógicamente
diario	diariamente
dichoso	dichosamente
didáctico	didácticamente
diestro	diestramente
dificultoso	dificultosamente
difícil	difícilmente
digital	digitalmente
digno	dignamente
dinámico	dinámicamente
directo	directamente
discreto	discretamente
disculpable	disculpablemente
disparado	disparadamente
disparatado	disparatadamente
displicente	displicentemente
dispositivo	dispositivamente
distante	distantemente
distintivo	distintivamente
disyuntivo	disyuntivamente
divinal	divinalmente
divino	divinamente
docto	doctamente
doctoral	doctoralmente
doctísimo	doctísimamente
doliente	dolientemente
dolioso	doliosamente
doloroso	dolorosamente
doméstico	domésticamente
dramática	dramáticamente
drástico	drásticamente
dudoso	dudosamente
durable	durablemente
duradera	duraderamente
duro	duramente
ecológico	ecológicamente
económico	económicamente
educativo	educativamente
eficiente	eficientemente
efímero	efímeramente
electrónico	electrónicamente
elegante	elegantemente
elegantísimo	elegantísimamente
elástico	elásticamente
eléctrico	eléctricamente
elíptico	elípticamente
embarazado	embarazadamente
embarazoso	embarazosamente
eminencia	eminencialmente
eminente	eminentemente
emocional	emocionalmente
emotivo	emotivamente
empalagoso	empalagosamente
empeñado	empeñadamente
empírico	empíricamente
encantador	encantadoramente
encantadora	encantadoramente
encarecido	encarecidamente
encargado	encargadamente
encogido	encogidamente
encumbrado	encumbradamente
enderezado	enderezadamente
endiablado	endiabladamente
endurecido	endurecidamente
enemigable	enemigablemente
enemigo	enemigamente
enfado	enfadosamente
enfermo	enfermamente
enfático	enfáticamente
engañoso	engañosamente
engorroso	engorrosamente
enojado	enojadamente
enojoso	enojosamente
enorme	enormemente
ensayístico	ensayísticamente
enseñado	enseñadamente
entendido	entendidamente
entero	enteramente
entrador	entradoramente
entrañable	entrañablemente
entrañal	entrañalmente
entregado	entregadamente
entrega	entregamientre
entricado	entricadamente
envidiable	envidiablemente
envidioso	envidiosamente
energíco	enérgicamente
epentético	epentéticamente
equivocado	equivocadamente
equívoco	equívocamente
erróneo	erróneamente
escandaloso	escandalosamente
escarnecido	escarnecidamente
escaso	escasamente
escatológico	escatológicamente
escenográfico	escenográficamente
esciente	escientemente
escondido	escondidamente
escrupuloso	escrupulosamente
escuderil	escuderilmente
escueto	escuetamente
escéptico	escépticamente
esencial	esencialmente
esforzado	esforzadamente
esmerado	esmeradamente
espantoso	espantosamente
especial	especialmente
específico	específicamente
esperado	esperadamente
espinoso	espinosamente
esplendoroso	esplendorosamente
espontáneo	espontáneamente
esquemático	esquemáticamente
esquemático	esquemáticamente
estilístico	estilísticamente
estoico	estoicamente
estorboso	estorbosamente
estresado	estresadamente
estropajoso	estropajosamente
estructural	estructuralmente
estulto	estultamente
estupendo	estupendamente
estético	estéticamente
estúpido	estúpidamente
etnográfico	etnográficamente
eufónico	eufónicamente
eufórico	eufóricamente
evaluativo	evaluativamente
evidente	evidentemente
exacto	exactamente
exagerado (con	exageradamente
exagerativo (con	exagerativamente
excesivo	excesivamente
excessiva	excessivamente
excessiva ("excesiva")	excessivamente
exclamativo (con	exclamativamente
exclamatorio (con	exclamatoriamente
exclusivo	exclusivamente
exhaustivo	exhaustivamente
existencial	existencialmente
explícito	explícitamente
expreso	expresamente
expresivo	expresivamente
exquisito	exquisitamente
extraordinario	extraordinariamente
extraterritorial	extraterritorialmente
extravagante	extravagantemente
extraño	extrañamente
extremadado	extremadamente
exuberante	exuberantemente
fabuloso	fabulosamente
familiar	familiarmente
famoso	famosamente
fantasioso	fantasiosamente
fantasmagórico	fantasmagóricamente
fantástico	fantásticamente
farmacológica	farmacológicamente
fatal	fatalmente
fatigado	fatigadamente
fatigoso	fatigosamente
favorable	favorablemente
favorecido	favorecidamente
feo	feamente
febril	febrilmente
fecundo	fecundamente
fehaciente	fehacientemente
feliz	felizmente
feroz	ferozmente
fervoroso	fervorosamente
festivo	festivamente
filantrópico	filantrópicamente
filatélico	filatélicamente
filológico	filológicamente
filoso	filosamente
filosófico	filosóficamente
final	finalmente
fino	finamente
firme	firmemente
flaco	flacamente
flexible	flexiblemente
flexivo	flexivamente
fluido	fluidamente
folclórico	folclóricamente
fonológico	fonológicamente
formal	formalmente
formidable	formidablemente
forzoso	forzosamente
fotográfico	fotográficamente
fotolitográfico	fotolitográficamente
franca	francamente
franca	francamente
franca	francamente
franca	francamente
frecuente	frecuentemente
frecuentísimo	frecuentísimamente
fructífero	fructíferamente
frío	fríamente
frívolo	frívolamente
fuerte	fuertemente
furioso	furiosamente
furtivo (con	furtivamente
fácil	fácilmente
físico	físicamente
fóbico	fóbicamente
fúnebre	fúnebremente
fútil	fútilmente
gallardo	gallardamente
ganancioso	gananciosamente
gangoso	gangosamente
ganoso	ganosamente
garboso	garbosamente
gastronómico	gastronómicamente
generoso	generosamente
geográfico	geográficamente
geológico	geológicamente
geométrico	geométricamente
gimnástico	gimnásticamente
global	globalmente
glorioso	gloriosamente
gracioso (con	graciosamente
gramatical	gramaticalmente
grande	grandemente
grandissima	grandissimamente
grandissima	grandissimamente
grandíssima	grandissimamente
grato (con	gratamente
gratuito (con	gratuitamente
gratuita	gratuitamente
gratuita	gratuitamente
gratuita	gratuitamente
gregario	gregariamente
gringa	gringamente
grosero	groseramente
grotesco	grotescamente
guardado	guardadamente
gubernativo	gubernativamente
guerrero	guerreramente
gustoso	gustosamente
habilidoso	habilidosamente
habilidosa	habilidosamente
habilidosa	habilidosamente
habitual	habitualmente
harto	hartamente
hegemónico	hegemónicamente
hermoso	hermosamente
hermético	herméticamente
heroico	heroicamente
heroica	heroicamente
heroica	heroicamente
heroica	heroicamente
heurístico	heurísticamente
historial	historialmente
historiográfico	historiográficamente
histórico	históricamente
homosexual	homosexualmente
hondo	hondamente
honesto	honestamente
honrado	honradamente
horizontal	horizontalmente
horrible	horriblemente
horroroso	horrorosamente
hábil	hábilmente
ideal	idealmente
idéntico	idénticamente
ilegal	ilegalmente
ilegible	ilegiblemente
iluminado	iluminadamente
imbécil	imbécilmente
imediata	imediatamente
imediata ("inmediata")	imediatamente
imediata ("inmediata")	imediatamente
imediata ("inmediata")	imediatamente
impajaritable	impajaritablemente
impensado	impensadamente
imperceptible	imperceptiblemente
imperioso	imperiosamente
impetuoso	impetuosamente
implacable	implacablemente
implícito	implícitamente
importuno	importunamente
imposible	imposiblemente
impropia	impropiamente
	impropriamente
	improvisadamente
	improvisamente
	imprudentemente
impunidad	impunemente
impuro	impuramente
impávido	impávidamente
impiedad	impíamente
	inaccesiblemente
	inadvertidamente
	inalterablemente
	incansablemente
	incautamente
incendiario	incendiariamente
	incesablemente
incesante	incesantemente
incestuoso	incestuosamente
incidental	incidentalmente
incidente	incidentemente
incierto	inciertamente
incivil	incivilmente
inclusivo	inclusivamente
	incoherentemente
incomparable	incomparablemente
	incomprensiblemente
	incompuestamente
	inconcusamente
	incondicionalmente
	incongruentemente
inconsciente	inconscientemente
inconsiderado	inconsideradamente
	inconsolablemente
	inconstantemente
	inconstitucionalmente
	inconsultamente
incontinente	incontinentemente
incontrastable	incontrastablemente
	incorporalmente
incorrecta	incorrectamente
incorrecta ("incorrecta")	incorrectamente
	incorregiblemente
	incorruptamente
increíble	increíblemente
incruento	incruentamente
	incrédulamente
incuestionable	incuestionablemente
inculpable	inculpablemente
	inculpadamente
inculto	incultamente
indeliberado (no	indeliberadamente
independiente	independientemente
indevoto	indevotamente
indignado	indignadamente
indigno	indignamente
indirecto	indirectamente
individual	individualmente
indolente	indolentemente
indudable	indudablemente
inesperado	inesperadamente
inexplicable	inexplicablemente
infatigable	infatigablemente
infeliz	infelizmente
infernal	infernalmente
inflexible	inflexiblemente
infortunado	infortunadamente
infructuoso	infructuosamente
ingrato (con	ingratamente
inintencional	inintencionalmente
inintencional ("inintencional")	inintencionalmente
injurioso (con	injuriosamente
injusto (con	injustamente
injustificado (con	injustificadamente
inmediato	inmediatamente
inmemorable	inmemorablemente
inmenso	inmensamente
inmerecido (con	inmerecidamente
inmoral	inmoralmente
inmortal	inmortalmente
innovador	innovadoramente
inolvidable	inolvidablemente
inopinada	inopinadamente
insensato	insensatamente
insidioso	insidiosamente
insistente	insistentemente
inspeccionado	inspeccionadamente
instructivo	instructivamente
insuperable	insuperablemente
integerrima	integerrimamente
integerrima	integerrimamente
integerrima	integerrimamente
intempestivo	intempestivamente
intenso	intensamente
intensivo	intensivamente
interesado	interesadamente
interior	interiormente
internacional	internacionalmente
interno	internamente
interrogativo (con	interrogativamente
intransitivo	intransitivamente
intrincado	intrincadamente
intrépido	intrépidamente
intuitivo (con	intuitivamente
inventivo	inventivamente
invisible	invisiblemente
invitado	invitadamente
invocado	invocadamente
involuntario	involuntariamente
inútil	inútilmente
irracional	irracionalmente
irracional	irracionalmente
irreflexiva	irreflexivamente
irregular	irregularmente
irremisible	irremisiblemente
irritado	irritadamente
jocoso	jocosamente
jodido	jodidamente
jovial	jovialmente
jubiloso	jubilosamente
judicial	judicialmente
jugoso	jugosamente
junto	juntamente
jurídico	jurídicamente
justo (con	justamente
lacónico	lacónicamente
lascivia	lascivamente
lastimero	lastimeramente
lastimoso	lastimosamente
lateral	lateralmente
laudatorio	laudatoriamente
legal	legalmente
legislativo	legislativamente
lento (con	lentamente
lento	lentamente
lerdo	lerdamente
letárgico	letárgicamente
lexical	lexicalmente
lexicográfico	lexicográficamente
lexicológico	lexicológicamente
limitado	limitadamente
lindo	lindamente
lingüístico	lingüísticamente
liso	lisamente
lisonjero	lisonjeramente
listo	listamente
literal	literalmente
litofotografía (con	litofotográficamente
liviano	livianamente
local	localmente
loco	locamente
logrado	logradamente
longitudinal	longitudinalmente
lujoso	lujosamente
lujurioso	lujuriosamente
luminoso	luminosamente
lumínico	lumínicamente
léxico	léxicamente
lírico	líricamente
lógico	lógicamente
lúbrico	lúbricamente
lúdico	lúdicamente
maduro	maduramente
magnánimo	magnánimamente
magnético	magnéticamente
magnífico	magníficamente
majestuoso	majestuosamente
malo	malamente
maldadoso	maldadosamente
maldiciente	maldicientemente
maldito	malditamente
malicioso	maliciosamente
manifiesto	manifiestamente
maniático	maniáticamente
maquinal	maquinalmente
maravilloso	maravillosamente
marrullero	marrulleramente
masivo	masivamente
material	materialmente
mayor	mayormente
mañoso	mañosamente
mecánico	mecánicamente
meditativo	meditativamente
mediático	mediáticamente
mero	meramente
mercantil	mercantilmente
mercantile	mercantilmente
merecido	merecidamente
meritocrático	meritocráticamente
meritorio (con	meritoriamente
metafísico	metafísicamente
metafórico	metafóricamente
metamórfico	metamórficamente
meticulosa	meticulosamente
meticulosa	meticulosamente
meticulosa	meticulosamente
mezclado	mezcladamente
ministerial	ministerialmente
minucioso	minuciosamente
misterioso	misteriosamente
moderno	modernamente
molesto	molestamente
monstruo	monstruosamente
monumental	monumentalmente
monótono	monótonamente
moral	moralmente
moral	moralmente
morboso	morbosamente
morfológico	morfológicamente
mortal	mortalmente
muelle	muellemente
musical	musicalmente
mutual	mutualmente
mutuo	mutuamente
mísero	míseramente
mórbido	mórbidamente
nacional	nacionalmente
negativo	negativamente
nervioso	nerviosamente
nimio	nimiamente
nocturna	nocturnamente
nocturna ("nocturna")	nocturnamente
notable	notablemente
novedoso	novedosamente
novelístico	novelísticamente
nutritivo	nutritivamente
nítido	nítidamente
oblicuo	oblicuamente
obligatorio	obligatoriamente
obsesivo	obsesivamente
obtuso	obtusamente
obvio	obviamente
ocupado	ocupadamente
odioso	odiosamente
oficial	oficialmente
ofuscado	ofuscadamente
oloroso	olorosamente
ondulatorio	ondulatoriamente
oneroso	onerosamente
oportuno	oportunamente
opresivo	opresivamente
opuesto	opuestamente
opulenta	opulentamente
opulenta	opulentamente
opulenta	opulentamente
opulenta	opulentamente
opulentísimo	opulentísimamente
opíparo	opíparamente
ordenado	ordenadamente
organizado	organizadamente
oscuro	oscuramente
ostensible	ostensiblemente
ostentoso (con	ostentosamente
papal	papalmente
paradójico	paradójicamente
paralelo	paralelamente
parasitario	parasitariamente
parasítico	parasíticamente
parco	parcamente
paremiológico	paremiológicamente
paronomástico	paronomásticamente
parsimonioso	parsimoniosamente
particular	particularmente
partido	partidamente
pasadero	pasaderamente
pasivo	pasivamente
pasmoso	pasmosamente
patológico	patológicamente
paulatina	paulatinamente
paulatina	paulatinamente
pavoroso	pavorosamente
pecaminoso	pecaminosamente
pedagógico	pedagógicamente
pegajoso	pegajosamente
peligroso	peligrosamente
pensativo	pensativamente
pequeño	pequeñamente
perceptible	perceptiblemente
perdido	perdidamente
perdurable	perdurablemente
perecoso	perecosamente
perennal	perennalmente
perenne	perennemente
perfecto	perfectamente
perfectible	perfectiblemente
perfeto	perfetamente
perfumado	perfumadamente
periódico	periódicamente
perjudicial	perjudicialmente
permisivo	permisivamente
persuasivo	persuasivamente
pertinaz	pertinazmente
pertinente	pertinentemente
petulante	petulantemente
picaresco	picarescamente
placentero (con	placenteramente
placible	placiblemente
plausible	plausiblemente
pobre	pobremente
político	políticamente
pomposo	pomposamente
ponzoñoso	ponzoñosamente
popular	popularmente
porfiado	porfiadamente
posesivo	posesivamente
posible	posiblemente
positivo	positivamente
potencial	potencialmente
poético	poéticamente
pragmático	pragmáticamente
precipitada	precipitadamente
precipitoso	precipitosamente
precipuo	precipuamente
preciso	precisamente
prehistórico	prehistóricamente
prematuro	prematuramente
preocupado	preocupadamente
presto	prestamente
presuntuoso	presuntuosamente
presuroso	presurosamente
primero	primeramente
primoroso (con	primorosamente
privado	privadamente
privilegiado	privilegiadamente
productivo	productivamente
profesional	profesionalmente
profundo	profundamente
profuso	profusamente
prohibitivo	prohibitivamente
prolija	prolijamente
prolongado	prolongadamente
promisorio	promisoriamente
prontísimo	prontísimamente
propicio	propiciamente
proporcionable	proporcionablemente
proporcionado (con	proporcionadamente
proporcional	proporcionalmente
prudente	prudentemente
práctico	prácticamente
próspero	prósperamente
próximo	próximamente
pudoroso	pudorosamente
pujante	pujantemente
pulcro	pulcramente
pulido	pulidamente
puntilloso	puntillosamente
puro	puramente
pérfido	pérfidamente
pésimo	pésimamente
público	públicamente
quedo	quedamente
quejumbroso	quejumbrosamente
quieto	quietamente
quijotesco	quijotescamente
químico	químicamente
rabioso	rabiosamente
racional	racionalmente
racional	racionalmente
radical	radicalmente
rapidísimo	rapidísimamente
raro	raramente
raso (con	rasamente
ratero	rateramente
raudo	raudamente
razonable	razonablemente
razonado	razonadamente
real	realmente
real	realmente
real	realmente
real	realmente
rechazado	rechazadamente
recio	reciamente
reciente	recientemente
reconocido (con	reconocidamente
recto	rectamente
recuperado	recuperadamente
reflexivo	reflexivamente
regio	regiamente
regio	regiamente
regresivo	regresivamente
regular	regularmente
reiterado	reiteradamente
reiterativo	reiterativamente
relajado	relajadamente
relajador	relajadoramente
religioso	religiosamente
repentino	repentinamente
repetido	repetidamente
repetitivo	repetitivamente
reportado	reportadamente
reposado	reposadamente
representativo	representativamente
repugnante	repugnantemente
reservado	reservadamente
resoluto	resolutamente
resolutivo	resolutivamente
respetoso	respetosamente
respetuoso	respetuosamente
resuelto	resueltamente
retenido	retenidamente
retoricado (participio	retoricadamente
revocable	revocablemente
reñido	reñidamente
ridículo	ridículamente
rigoroso	rigorosamente
riguroso	rigurosamente
ritual	ritualmente
robusto	robustamente
romántico	románticamente
rotundo	rotundamente
rudo	rudamente
ruidoso	ruidosamente
ruinoso	ruinosamente
rutinario	rutinariamente
rápido	rápidamente
rígido	rígidamente
rítmico	rítmicamente
sabroso	sabrosamente
sacrosanta	sacrosantamente
sacudida	sacudidamente
saleroso	salerosamente
saludable	saludablemente
salutífero	salutíferamente
salvaje	salvajemente
salvo	salvamente
sano	sanamente
santo	santamente
satisfactorio	satisfactoriamente
seco	secamente
secreto	secretamente
sectario	sectariamente
secular	secularmente
secundario	secundariamente
sedativo	sedativamente
sedoso	sedosamente
seguido	seguidamente
seguro	seguramente
semanal	semanalmente
semejable	semejablemente
semejante	semejantemente
semestral	semestralmente
semántico	semánticamente
sencillo	sencillamente
sensato	sensatamente
sensato	sensatamente
sensible	sensiblemente
sentido	sentidamente
separado	separadamente
sereno	serenamente
servicial	servicialmente
severo	severamente
sexual	sexualmente
señalada	señaladamente
señoril	señorilmente
sicológica	sicológicamente
sigiloso	sigilosamente
simbólico	simbólicamente
simultáneo	simultáneamente
simétrico	simétricamente
sincera	sinceramente
sinfónico	sinfónicamente
singular	singularmente
siniestro	siniestramente
sintético	sintéticamente
soberbio	soberbiamente
	sobrenaturalmente
social	socialmente
sociológico	sociológicamente
socorrido	socorridamente
solapado	solapadamente
solitario	solitariamente
somero	someramente
soporífero	soporíferamente
sosegado	sosegadamente
sospechoso	sospechosamente
suave	suavemente
subrepticio	subrepticiamente
substancial	substancialmente
sucesivo	sucesivamente
suculento	suculentamente
sudoroso	sudorosamente
suficiente	suficientemente
sulfurado	sulfuradamente
sumo	sumamente
sumario	sumariamente
superabundante	superabundantemente
superbo	superbamente
supereminente	supereminentemente
superficial	superficialmente
superfluo	superfluamente
supersticioso	supersticiosamente
supuesto (con	supuestamente
sustancial	sustancialmente
sutil	sutilmente
sólido	sólidamente
sónico	sónicamente
súbito	súbitamente
tacaño	tacañamente
taimado	taimadamente
tangible	tangiblemente
tardía	tardíamente
tecnocrático	tecnocráticamente
tecnológico	tecnológicamente
tedioso	tediosamente
telefónico	telefónicamente
telegráfico	telegráficamente
telemática	telemáticamente
telepático	telepáticamente
temerario	temerariamente
temeroso	temerosamente
temperamental	temperamentalmente
tempestuoso	tempestuosamente
templado	templadamente
temporal	temporalmente
temprano	tempranamente
tenaz	tenazmente
tenaz ("tenaz")	tenazmente
tenaz ("tenaz")	tenazmente
tenebroso	tenebrosamente
tentador	tentadoramente
tentativo	tentativamente
tenue	tenuemente
teogónico	teogónicamente
terco	tercamente
terrible	terriblemente
teórico	teóricamente
tierno	tiernamente
tipográfico	tipográficamente
tirano	tiranamente
tiranizado	tiranizadamente
tiránico	tiránicamente
tonto	tontamente
topográfico	topográficamente
toponímico	toponímicamente
torcida	torcidamente
tosca	toscamente
toxicológico	toxicológicamente
tradicional	tradicionalmente
transitivo	transitivamente
trascendental	trascendentalmente
triangular	triangularmente
trigonométrico	trigonométricamente
trimestral	trimestralmente
triste	tristemente
triunfal	triunfalmente
triunfante	triunfantemente
trivial	trivialmente
truncado	truncadamente
tumultuosa	tumultuosamente
turístico	turísticamente
tácito	tácitamente
técnica	técnicamente
térmico	térmicamente
tétrico	tétricamente
típico	típicamente
tónico	tónicamente
ulterior	ulteriormente
ultimado	ultimadamente
unido	unidamente
uniforme	uniformemente
unilateral	unilateralmente
unipersonal	unipersonalmente
unánime	unánimemente
unívoco	unívocamente
urgente	urgentemente
urgentísimo	urgentísimamente
valeroso	valerosamente
valiente	valientemente
valioso	valiosamente
valorativo	valorativamente
vana	vanamente
vanidoso	vanidosamente
veloz	velozmente
venenoso	venenosamente
venial	venialmente
vero	veramente
veraz	verazmente
verboso	verbosamente
verdadero	verdaderamente
vertical	verticalmente
vertiginoso	vertiginosamente
vibrante	vibrantemente
vibrante ("vibrante")	vibrantemente
vigoroso	vigorosamente
vil	vilmente
violenta	violentamente
virtuoso	virtuosamente
visible	visiblemente
vistoso	vistosamente
visual	visualmente
vivo	vivamente
vivaz	vivazmente
voluntario	voluntariamente
voluntarioso	voluntariosamente
voluptuoso	voluptuosamente
vulgar	vulgarmente
xerográfica	xerográficamente
zafio	zafiamente
zarrapastroso	zarrapastrosamente
zonzo	zonzamente
ágil	ágilmente
áspero	ásperamente
ávido	ávidamente
épico	épicamente
ético	éticamente
último	últimamente
único	únicamente
